Date,Open,High,Low,Close,Volume
10/25/2019,"61.48","63.25","61.11","62.89","5,189,341"
10/24/2019,"59.62","61.77","59.59","61.72","8,144,656"
10/23/2019,"58.90","59.69","57.62","58.36","7,752,335"
10/22/2019,"61.28","61.49","58.55","58.83","7,198,711"
10/21/2019,"60.70","61.48","59.83","61.15","5,489,779"
10/18/2019,"63.17","63.44","59.78","60.45","7,909,514"
10/17/2019,"63.02","64.55","63.02","63.40","5,586,685"
10/16/2019,"63.82","63.88","62.56","63.00","4,241,251"
10/15/2019,"62.22","64.49","62.22","64.29","6,247,673"
10/14/2019,"61.52","62.29","61.40","61.83","3,746,414"
10/11/2019,"62.76","63.56","61.47","61.54","9,138,383"
10/10/2019,"62.25","62.63","61.56","62.03","4,490,486"
10/09/2019,"61.43","62.52","61.27","62.22","4,150,517"
10/08/2019,"61.85","62.19","60.63","60.80","4,693,609"
10/07/2019,"62.24","62.85","61.69","62.25","4,168,498"
10/04/2019,"62.51","62.92","61.44","62.65","5,136,043"
10/03/2019,"59.48","62.44","59.06","62.05","8,149,872"
10/02/2019,"61.23","61.23","58.86","60.08","8,906,984"
10/01/2019,"62.30","62.99","61.05","61.63","7,588,884"
09/30/2019,"60.96","62.28","60.85","61.95","7,360,555"
09/27/2019,"60.98","61.65","59.93","60.75","10,700,910"
09/26/2019,"60.04","61.15","59.83","60.80","16,725,949"
09/25/2019,"57.42","58.89","56.23","58.51","10,186,560"
09/24/2019,"56.85","58.75","54.41","57.50","19,637,260"
09/23/2019,"57.07","57.45","56.39","56.76","8,963,285"
09/20/2019,"59.00","59.14","56.93","57.85","9,323,830"
09/19/2019,"59.96","60.18","58.41","59.03","7,162,322"
09/18/2019,"59.99","60.42","58.76","59.75","8,695,475"
09/17/2019,"60.20","60.70","59.15","59.60","9,446,621"
09/16/2019,"57.34","59.63","57.24","59.25","12,394,010"
09/13/2019,"57.18","58.85","55.91","58.29","11,657,460"
09/12/2019,"59.50","59.86","57.75","57.79","15,301,160"
09/11/2019,"60.85","60.85","58.91","59.20","11,561,440"
09/10/2019,"60.72","62.10","59.45","60.55","9,394,002"
09/09/2019,"62.55","62.73","59.07","61.47","11,684,380"
09/06/2019,"63.50","63.85","61.89","62.00","4,744,128"
09/05/2019,"61.88","63.47","61.67","63.02","8,162,318"
09/04/2019,"61.75","62.69","60.77","61.17","6,658,138"
09/03/2019,"62.43","63.98","60.96","61.13","12,072,050"
08/30/2019,"63.15","63.46","61.15","61.84","5,832,648"
08/29/2019,"63.02","63.41","62.30","62.84","4,423,980"
08/28/2019,"61.28","62.22","60.60","62.15","4,561,375"
08/27/2019,"63.16","63.43","61.12","61.75","5,216,928"
08/26/2019,"62.92","63.52","62.36","62.80","5,261,491"
08/23/2019,"64.30","65.05","61.40","61.78","9,178,668"
08/22/2019,"65.92","65.97","63.37","64.68","4,701,192"
08/21/2019,"65.32","66.14","64.81","65.41","5,538,601"
08/20/2019,"64.24","65.11","63.83","64.37","7,009,601"
08/19/2019,"64.00","64.43","63.20","64.08","6,975,837"
08/16/2019,"62.61","63.21","62.13","62.87","5,421,368"
08/15/2019,"62.01","62.68","61.24","62.00","7,080,349"
08/14/2019,"61.85","62.35","60.47","61.55","8,577,901"
08/13/2019,"62.00","63.50","61.52","63.00","11,967,140"
08/12/2019,"64.02","64.24","61.55","62.30","8,856,875"
08/09/2019,"65.97","66.12","64.32","65.01","7,216,927"
08/08/2019,"66.07","66.57","64.93","66.27","9,461,941"
08/07/2019,"63.18","65.26","62.85","65.00","9,246,512"
08/06/2019,"66.85","67.40","63.15","64.60","14,970,790"
08/05/2019,"66.20","66.50","63.69","64.85","21,651,490"
08/02/2019,"70.80","70.81","67.25","69.60","43,721,992"
08/01/2019,"81.10","83.20","80.00","80.98","16,099,740"
07/31/2019,"81.17","81.95","79.01","80.41","7,406,911"
07/30/2019,"80.23","81.19","79.38","80.49","5,369,340"
07/29/2019,"81.88","82.00","79.06","80.20","7,211,431"
07/26/2019,"80.63","82.32","80.63","81.81","5,668,247"
07/25/2019,"80.15","81.09","79.13","80.02","6,000,395"
07/24/2019,"78.67","80.50","78.43","80.43","4,751,046"
07/23/2019,"79.00","79.37","77.86","78.84","3,624,763"
07/22/2019,"79.13","79.63","78.38","78.57","4,005,413"
07/19/2019,"81.61","81.70","78.42","78.51","6,877,515"
07/18/2019,"80.87","82.14","80.22","81.06","6,855,061"
07/17/2019,"80.21","82.17","80.19","80.87","6,263,978"
07/16/2019,"81.80","81.80","80.31","80.59","5,771,988"
07/15/2019,"82.48","82.51","81.20","82.17","6,428,485"
07/12/2019,"80.05","82.66","79.73","82.28","13,586,310"
07/11/2019,"78.45","79.96","78.43","79.44","7,916,441"
07/10/2019,"77.91","78.70","77.40","78.37","10,342,800"
07/09/2019,"74.03","78.39","73.96","77.96","21,399,730"
07/08/2019,"73.80","74.00","73.06","73.43","4,287,981"
07/05/2019,"73.75","74.36","73.20","74.31","3,523,528"
07/03/2019,"74.00","74.32","73.35","74.26","2,904,582"
07/02/2019,"72.98","73.97","72.65","73.97","5,902,281"
07/01/2019,"73.90","74.20","72.70","73.20","8,092,426"
06/28/2019,"72.43","73.15","71.57","72.53","9,464,965"
06/27/2019,"70.57","71.54","70.05","71.28","5,163,832"
06/26/2019,"70.98","72.00","69.91","69.95","7,911,769"
06/25/2019,"72.93","73.17","69.26","69.87","12,035,260"
06/24/2019,"72.98","73.68","72.52","72.71","4,468,022"
06/21/2019,"74.08","74.26","72.29","72.87","8,396,728"
06/20/2019,"73.76","74.55","73.31","74.42","8,796,757"
06/19/2019,"71.77","72.78","71.27","72.66","6,079,121"
06/18/2019,"72.90","73.51","71.60","71.82","7,651,584"
06/17/2019,"72.00","72.93","71.80","72.21","5,353,061"
06/14/2019,"71.81","72.08","70.92","71.59","5,344,666"
06/13/2019,"70.76","72.75","70.53","72.18","8,201,368"
06/12/2019,"70.00","70.92","69.53","70.46","6,612,073"
06/11/2019,"71.20","71.88","69.11","70.18","7,130,723"
06/10/2019,"69.57","71.70","69.12","70.37","10,668,190"
06/07/2019,"66.48","69.07","66.16","68.46","9,995,129"
06/06/2019,"64.88","65.87","64.20","65.77","6,021,813"
06/05/2019,"63.45","65.64","63.43","64.93","9,330,703"
06/04/2019,"61.55","63.45","60.73","63.39","8,234,436"
06/03/2019,"61.95","62.54","59.89","60.62","9,309,724"
05/31/2019,"62.24","62.50","61.31","61.95","7,220,492"
05/30/2019,"63.78","64.29","63.20","63.67","5,590,361"
05/29/2019,"65.06","65.06","62.70","63.23","10,392,810"
05/28/2019,"65.20","67.67","65.10","65.82","10,027,490"
05/24/2019,"64.15","65.04","63.76","64.66","7,993,956"
05/23/2019,"65.05","65.33","62.77","63.75","9,444,481"
05/22/2019,"65.68","67.04","65.66","66.46","6,695,070"
