Date,Open,High,Low,Close,Volume
10/26/2018,"300.51","313.99","292.30","299.83","19,616,039"
10/25/2018,"307.12","319.94","305.25","312.87","13,346,920"
10/24/2018,"332.28","333.00","300.73","301.83","19,039,301"
10/23/2018,"318.00","336.58","316.77","333.16","14,907,330"
10/22/2018,"333.10","335.80","320.34","329.54","17,097,180"
10/19/2018,"351.00","355.80","332.20","332.67","16,717,230"
10/18/2018,"360.67","362.20","346.05","346.71","18,461,039"
10/17/2018,"378.33","380.00","356.50","364.70","32,610,949"
10/16/2018,"337.24","347.95","330.56","346.40","20,156,420"
10/15/2018,"337.63","339.21","326.93","333.13","11,214,960"
10/12/2018,"339.57","341.30","328.90","339.56","14,870,830"
10/11/2018,"324.94","334.20","315.81","321.10","16,082,060"
10/10/2018,"353.52","355.15","325.39","325.89","17,183,119"
10/09/2018,"348.48","358.72","347.09","355.71","8,754,990"
10/08/2018,"345.18","352.95","338.11","349.10","12,375,500"
10/05/2018,"359.77","363.50","343.00","351.35","13,522,960"
10/04/2018,"375.88","375.92","360.40","363.65","9,074,350"
10/03/2018,"378.53","380.93","374.88","377.05","5,798,605"
10/02/2018,"384.38","386.80","373.83","377.14","8,638,717"
10/01/2018,"375.85","386.11","375.59","381.43","8,376,560"
09/28/2018,"379.24","380.80","373.73","374.13","7,114,878"
09/27/2018,"379.87","383.20","376.00","380.71","7,326,246"
09/26/2018,"373.59","382.00","370.88","377.88","13,799,730"
09/25/2018,"370.23","371.34","364.49","369.43","6,799,816"
09/24/2018,"359.00","373.64","354.33","369.61","9,322,522"
09/21/2018,"366.59","372.22","360.74","361.19","11,930,570"
09/20/2018,"370.26","370.26","363.17","365.36","6,768,086"
09/19/2018,"373.95","377.61","359.17","366.96","11,876,840"
09/18/2018,"353.67","368.15","351.56","367.65","10,413,980"
09/17/2018,"364.22","367.33","349.57","350.35","7,071,945"
09/14/2018,"368.55","371.09","363.46","364.56","4,756,426"
09/13/2018,"371.91","374.09","366.84","368.15","8,366,122"
09/12/2018,"359.08","370.43","356.24","369.95","10,480,770"
09/11/2018,"344.67","356.15","343.90","355.93","6,198,063"
09/10/2018,"352.27","352.50","343.08","348.41","5,752,184"
09/07/2018,"342.20","355.75","341.25","348.68","9,105,817"
09/06/2018,"347.44","356.00","341.99","346.46","13,050,160"
09/05/2018,"360.00","363.39","335.83","341.18","13,092,850"
09/04/2018,"366.47","368.88","361.26","363.60","7,605,161"
08/31/2018,"370.66","376.00","367.08","367.68","7,943,443"
08/30/2018,"365.00","376.81","363.54","370.98","10,981,010"
08/29/2018,"367.20","369.86","362.91","368.04","8,118,734"
08/28/2018,"367.23","369.99","360.38","368.49","9,222,617"
08/27/2018,"367.15","374.49","360.00","364.58","17,427,301"
08/24/2018,"346.00","359.15","344.54","358.82","14,729,140"
08/23/2018,"348.11","350.08","337.65","339.17","11,336,430"
08/22/2018,"338.49","346.21","337.41","344.44","8,930,669"
08/21/2018,"331.00","341.50","329.70","338.02","14,783,250"
08/20/2018,"314.64","331.60","310.93","327.73","13,591,100"
08/17/2018,"319.01","324.37","312.96","316.78","10,407,910"
08/16/2018,"329.90","331.17","321.21","322.44","6,689,733"
08/15/2018,"334.03","335.50","321.00","326.40","11,784,490"
08/14/2018,"342.09","342.41","336.25","337.49","5,805,182"
