Date,Open,High,Low,Close,Volume
10/27/2020,"490.01","490.49","482.93","488.93","3,627,175"
10/26/2020,"487.03","496.82","478.90","488.24","6,186,087"
10/23/2020,"488.11","490.06","481.35","488.28","4,927,862"
10/22/2020,"494.69","495.14","482.00","485.23","6,997,922"
10/21/2020,"501.03","506.85","488.25","489.05","17,405,711"
10/20/2020,"528.14","533.78","522.26","525.42","10,047,180"
10/19/2020,"537.07","541.80","525.38","530.72","7,567,506"
10/16/2020,"549.50","554.33","530.03","530.79","6,347,363"
10/15/2020,"545.52","551.22","535.10","541.94","5,113,126"
10/14/2020,"562.61","572.49","541.00","541.45","9,510,081"
10/13/2020,"540.56","557.65","537.20","554.09","5,602,498"
10/12/2020,"548.81","551.81","538.24","539.81","5,391,074"
10/09/2020,"537.83","544.28","535.00","539.44","4,781,259"
10/08/2020,"533.48","535.00","524.15","531.79","5,386,488"
10/07/2020,"518.00","536.49","515.82","534.66","7,988,683"
10/06/2020,"518.72","521.82","504.16","505.87","4,199,034"
10/05/2020,"506.80","520.99","501.70","520.65","4,088,069"
10/02/2020,"516.43","526.37","502.70","503.06","6,071,165"
10/01/2020,"506.03","529.55","503.60","527.51","8,153,710"
09/30/2020,"492.57","504.63","489.27","500.03","4,634,111"
09/29/2020,"489.50","496.29","486.53","493.48","3,543,193"
09/28/2020,"489.11","492.00","477.88","490.65","4,773,497"
09/25/2020,"474.39","484.87","468.03","482.88","3,769,436"
09/24/2020,"470.53","477.00","467.82","473.08","3,727,201"
09/23/2020,"491.04","491.04","469.00","470.61","3,726,423"
09/22/2020,"489.01","491.82","479.26","491.17","3,482,324"
09/21/2020,"467.69","487.78","466.32","487.35","5,457,539"
09/18/2020,"472.51","479.40","458.60","469.96","6,717,711"
09/17/2020,"475.16","478.40","463.27","470.20","5,379,301"
09/16/2020,"499.99","504.66","483.31","483.86","4,401,412"
09/15/2020,"484.00","497.47","481.63","495.99","5,336,992"
09/14/2020,"480.62","488.99","471.30","476.26","7,359,126"
09/11/2020,"486.49","493.73","476.81","482.03","5,035,200"
09/10/2020,"503.35","506.29","478.84","480.67","6,240,181"
09/09/2020,"519.21","520.00","492.57","500.19","6,848,127"
09/08/2020,"498.40","522.00","495.00","507.02","5,572,684"
09/04/2020,"520.18","527.36","485.98","516.05","8,270,118"
09/03/2020,"545.00","554.00","521.32","525.75","9,071,089"
09/02/2020,"553.78","556.50","537.37","552.84","5,886,930"
09/01/2020,"532.60","557.39","532.45","556.55","9,581,907"
08/31/2020,"521.16","531.99","517.58","529.56","4,941,409"
08/28/2020,"532.00","539.00","522.00","523.89","4,417,517"
08/27/2020,"537.78","541.00","521.25","526.27","9,062,912"
08/26/2020,"492.50","549.04","492.08","547.53","20,373,680"
08/25/2020,"488.19","492.47","485.09","490.58","5,727,721"
08/24/2020,"495.44","501.00","483.16","488.81","4,762,183"
08/21/2020,"496.46","498.13","490.00","492.31","3,921,293"
08/20/2020,"484.69","498.94","483.89","497.90","5,132,480"
08/19/2020,"493.93","494.50","483.50","484.53","3,156,218"
08/18/2020,"484.35","495.30","482.80","491.87","3,505,518"
