Date,Open,High,Low,Close,Volume
10/27/2020,"1,588.93","1,602.00","1,576.99","1,598.88","1,295,138"
10/26/2020,"1,615.00","1,629.58","1,567.78","1,584.29","1,791,317"
10/23/2020,"1,615.05","1,634.12","1,611.91","1,632.98","1,527,402"
10/22/2020,"1,585.00","1,613.42","1,577.48","1,606.66","1,525,773"
10/21/2020,"1,569.85","1,615.14","1,567.14","1,585.99","3,016,053"
10/20/2020,"1,523.11","1,573.84","1,520.50","1,551.08","2,085,915"
10/19/2020,"1,575.93","1,583.93","1,522.92","1,529.95","1,486,652"
10/16/2020,"1,561.83","1,577.71","1,557.66","1,567.70","1,710,325"
10/15/2020,"1,544.50","1,571.40","1,541.13","1,555.47","1,561,485"
10/14/2020,"1,574.60","1,583.85","1,545.90","1,563.44","1,659,228"
10/13/2020,"1,577.01","1,585.16","1,558.63","1,567.07","1,953,609"
10/12/2020,"1,538.00","1,588.42","1,529.30","1,564.59","2,767,164"
10/09/2020,"1,492.86","1,511.85","1,487.00","1,510.45","1,648,340"
10/08/2020,"1,465.45","1,488.03","1,465.45","1,483.43","1,303,802"
10/07/2020,"1,459.31","1,468.97","1,433.23","1,459.14","1,805,448"
10/06/2020,"1,475.50","1,484.52","1,445.01","1,451.02","1,304,752"
10/05/2020,"1,462.65","1,484.70","1,460.09","1,482.83","1,080,058"
10/02/2020,"1,459.63","1,479.03","1,447.35","1,455.60","1,561,132"
10/01/2020,"1,483.66","1,495.07","1,476.80","1,487.90","1,644,221"
09/30/2020,"1,460.94","1,486.20","1,455.76","1,465.60","2,046,170"
09/29/2020,"1,463.91","1,472.00","1,454.00","1,466.02","1,591,112"
09/28/2020,"1,471.99","1,472.99","1,446.28","1,458.66","1,539,236"
09/25/2020,"1,425.05","1,445.94","1,407.68","1,439.06","1,516,677"
09/24/2020,"1,402.68","1,437.99","1,402.15","1,422.86","1,727,611"
09/23/2020,"1,452.09","1,453.08","1,402.68","1,409.39","1,886,299"
09/22/2020,"1,450.32","1,463.97","1,429.50","1,459.82","1,697,542"
09/21/2020,"1,431.62","1,440.06","1,402.68","1,430.14","2,845,405"
09/18/2020,"1,488.30","1,495.20","1,431.62","1,451.09","3,152,788"
09/17/2020,"1,485.81","1,498.66","1,462.46","1,487.04","2,000,356"
09/16/2020,"1,542.48","1,554.37","1,511.59","1,512.09","1,107,169"
09/15/2020,"1,527.89","1,550.99","1,522.10","1,535.12","1,152,055"
09/14/2020,"1,531.65","1,557.00","1,505.11","1,508.83","2,133,007"
09/11/2020,"1,528.15","1,538.70","1,493.02","1,515.76","1,535,337"
09/10/2020,"1,550.18","1,573.66","1,520.00","1,526.05","1,651,194"
09/09/2020,"1,548.90","1,558.72","1,525.17","1,547.23","1,962,078"
09/08/2020,"1,525.00","1,555.55","1,516.50","1,523.60","2,701,586"
09/04/2020,"1,609.00","1,634.99","1,537.97","1,581.21","2,792,533"
09/03/2020,"1,699.52","1,700.00","1,607.71","1,629.51","3,186,287"
09/02/2020,"1,668.01","1,726.10","1,660.19","1,717.39","2,476,072"
09/01/2020,"1,632.16","1,659.22","1,629.53","1,655.08","1,133,766"
08/31/2020,"1,643.57","1,644.50","1,625.33","1,629.53","1,321,097"
08/28/2020,"1,629.47","1,641.35","1,625.61","1,639.43","1,121,195"
08/27/2020,"1,646.61","1,647.99","1,618.81","1,628.52","1,567,503"
08/26/2020,"1,606.30","1,652.79","1,600.98","1,644.13","2,609,363"
08/25/2020,"1,580.10","1,608.88","1,577.88","1,605.85","1,257,463"
08/24/2020,"1,592.47","1,608.78","1,575.04","1,585.15","1,281,893"
08/21/2020,"1,571.80","1,591.88","1,562.31","1,575.57","1,742,275"
08/20/2020,"1,539.97","1,580.17","1,534.46","1,576.25","1,319,131"
08/19/2020,"1,552.49","1,568.86","1,540.00","1,544.61","1,523,592"
08/18/2020,"1,526.12","1,557.37","1,521.67","1,555.78","1,418,850"
08/17/2020,"1,515.97","1,523.78","1,505.00","1,516.24","999,934"
08/14/2020,"1,513.61","1,519.79","1,499.00","1,504.63","1,097,059"
08/13/2020,"1,508.21","1,536.97","1,508.21","1,516.65","1,119,711"
08/12/2020,"1,487.13","1,511.67","1,485.00","1,507.24","1,126,560"
08/11/2020,"1,494.00","1,510.44","1,478.19","1,480.54","1,554,853"
08/10/2020,"1,490.80","1,507.15","1,477.49","1,496.82","1,027,329"
08/07/2020,"1,509.04","1,520.09","1,486.27","1,498.37","1,386,294"
08/06/2020,"1,476.15","1,506.27","1,471.90","1,504.95","1,665,261"
08/05/2020,"1,476.82","1,490.00","1,471.22","1,479.09","1,457,518"
08/04/2020,"1,486.71","1,493.11","1,464.03","1,473.30","1,860,609"
08/03/2020,"1,491.00","1,497.73","1,471.72","1,482.76","2,276,085"
07/31/2020,"1,497.05","1,505.02","1,454.00","1,487.95","4,576,382"
07/30/2020,"1,497.97","1,540.89","1,495.17","1,538.37","1,802,121"
07/29/2020,"1,505.00","1,533.33","1,503.01","1,523.51","1,133,773"
07/28/2020,"1,525.00","1,526.01","1,500.52","1,503.65","1,545,534"
07/27/2020,"1,513.26","1,537.56","1,512.33","1,529.43","1,356,185"
07/24/2020,"1,499.19","1,515.43","1,487.59","1,508.21","1,495,381"
07/23/2020,"1,565.93","1,570.35","1,508.59","1,516.75","1,695,498"
07/22/2020,"1,555.71","1,566.98","1,543.23","1,564.85","1,224,100"
07/21/2020,"1,585.03","1,587.05","1,552.62","1,555.92","1,377,718"
07/20/2020,"1,515.00","1,569.01","1,502.70","1,563.84","1,508,277"
07/17/2020,"1,516.91","1,523.43","1,498.10","1,516.85","1,713,231"
07/16/2020,"1,501.50","1,515.91","1,488.27","1,514.92","1,324,227"
07/15/2020,"1,523.23","1,536.33","1,497.83","1,516.88","1,551,325"
07/14/2020,"1,492.79","1,522.80","1,485.93","1,520.86","1,905,400"
07/13/2020,"1,549.94","1,576.36","1,506.56","1,512.23","2,147,728"
07/10/2020,"1,513.25","1,541.34","1,500.72","1,539.01","1,796,063"
07/09/2020,"1,509.93","1,529.14","1,495.59","1,518.66","2,091,833"
07/08/2020,"1,500.80","1,511.17","1,492.30","1,503.60","1,588,292"
07/07/2020,"1,496.13","1,521.32","1,489.70","1,489.92","2,118,194"
07/06/2020,"1,488.15","1,510.00","1,476.98","1,499.65","2,235,630"
07/02/2020,"1,451.84","1,488.52","1,451.07","1,469.93","2,860,915"
07/01/2020,"1,419.17","1,448.48","1,414.18","1,442.00","2,109,124"
06/30/2020,"1,396.88","1,424.00","1,386.93","1,418.05","2,014,320"
06/29/2020,"1,360.34","1,398.00","1,351.65","1,397.17","2,253,678"
06/26/2020,"1,432.63","1,437.02","1,355.00","1,362.54","4,882,014"
06/25/2020,"1,431.22","1,442.32","1,419.54","1,441.10","1,197,907"
06/24/2020,"1,463.28","1,475.79","1,430.00","1,432.70","1,579,579"
06/23/2020,"1,452.00","1,475.20","1,445.00","1,463.98","1,887,583"
06/22/2020,"1,425.01","1,450.95","1,419.19","1,450.66","1,472,072"
06/19/2020,"1,440.00","1,444.50","1,419.00","1,424.64","2,639,167"
06/18/2020,"1,449.85","1,452.97","1,426.24","1,434.12","1,743,071"
06/17/2020,"1,452.94","1,462.20","1,435.13","1,452.54","1,530,500"
06/16/2020,"1,449.00","1,457.17","1,428.99","1,446.47","1,534,826"
06/15/2020,"1,389.49","1,425.00","1,387.20","1,420.74","1,527,652"
06/12/2020,"1,425.86","1,434.51","1,385.80","1,412.92","1,833,756"
06/11/2020,"1,441.03","1,451.60","1,398.41","1,401.90","2,357,243"
06/10/2020,"1,461.51","1,472.77","1,454.36","1,464.70","1,588,116"
06/09/2020,"1,445.24","1,467.80","1,442.36","1,452.08","1,681,155"
06/08/2020,"1,426.28","1,449.00","1,424.48","1,448.04","1,693,881"
06/05/2020,"1,415.64","1,446.30","1,407.62","1,440.02","2,132,350"
06/04/2020,"1,436.78","1,441.32","1,406.01","1,414.30","1,349,105"
06/03/2020,"1,442.70","1,449.01","1,431.62","1,439.25","1,386,640"
06/02/2020,"1,435.00","1,443.00","1,421.61","1,442.31","1,172,069"
06/01/2020,"1,425.70","1,441.58","1,422.28","1,434.87","1,259,254"
05/29/2020,"1,420.43","1,436.73","1,415.98","1,433.52","1,852,522"
05/28/2020,"1,400.00","1,444.46","1,399.08","1,418.24","1,759,787"
05/27/2020,"1,420.00","1,425.35","1,394.60","1,420.28","1,584,185"
05/26/2020,"1,441.96","1,445.11","1,419.40","1,421.37","2,229,488"
05/22/2020,"1,403.90","1,417.00","1,395.95","1,413.24","1,427,206"
05/21/2020,"1,410.99","1,416.46","1,394.39","1,406.75","1,544,976"
05/20/2020,"1,389.16","1,412.03","1,387.42","1,409.16","1,913,133"
05/19/2020,"1,385.48","1,392.49","1,373.76","1,374.40","1,579,250"
05/18/2020,"1,361.58","1,392.76","1,354.20","1,385.18","2,356,449"
05/15/2020,"1,348.26","1,374.58","1,339.00","1,373.06","2,077,199"
05/14/2020,"1,333.52","1,357.37","1,323.30","1,356.86","1,833,017"
05/13/2020,"1,376.16","1,385.33","1,328.01","1,348.33","2,018,404"
05/12/2020,"1,408.22","1,414.33","1,374.51","1,375.18","1,695,874"
05/11/2020,"1,376.79","1,415.53","1,375.50","1,403.59","1,635,856"
05/08/2020,"1,381.82","1,396.64","1,372.01","1,384.34","1,666,487"
05/07/2020,"1,361.31","1,376.00","1,352.54","1,369.28","1,535,819"
05/06/2020,"1,358.00","1,368.69","1,345.13","1,345.43","1,586,629"
05/05/2020,"1,337.50","1,371.01","1,335.03","1,349.02","1,983,318"
05/04/2020,"1,308.13","1,324.47","1,296.01","1,322.90","1,540,347"
05/01/2020,"1,324.09","1,351.43","1,309.66","1,317.32","2,443,554"
04/30/2020,"1,331.36","1,350.00","1,321.50","1,346.70","2,792,124"
04/29/2020,"1,345.00","1,360.15","1,326.73","1,342.18","5,417,888"
04/28/2020,"1,283.20","1,284.76","1,230.38","1,232.59","4,035,007"
04/27/2020,"1,292.00","1,294.10","1,265.06","1,270.86","2,209,333"
