Date,Open,High,Low,Close,Volume
10/26/2018,"105.69","108.75","104.76","106.96","55,523,102"
10/25/2018,"106.55","109.27","106.15","108.30","61,646,820"
10/24/2018,"108.41","108.49","101.59","102.32","63,897,762"
10/23/2018,"107.77","108.97","105.11","108.10","43,770,434"
10/22/2018,"109.32","110.54","108.24","109.63","26,545,609"
10/19/2018,"108.93","110.86","108.21","108.66","32,785,480"
10/18/2018,"110.10","110.53","107.83","108.50","32,506,189"
10/17/2018,"111.68","111.81","109.55","110.71","26,548,240"
10/16/2018,"109.54","111.41","108.95","111.00","31,610,160"
10/15/2018,"108.91","109.48","106.95","107.60","32,068,100"
10/12/2018,"109.01","111.24","107.12","109.57","47,742,113"
10/11/2018,"105.35","108.93","104.20","105.91","63,904,281"
10/10/2018,"111.24","111.50","105.79","106.16","61,376,320"
10/09/2018,"111.14","113.08","110.80","112.26","26,198,590"
10/08/2018,"111.66","112.03","109.34","110.85","29,640,590"
10/05/2018,"112.63","113.17","110.64","112.13","29,068,859"
10/04/2018,"114.61","114.76","111.63","112.79","34,821,719"
10/03/2018,"115.42","116.18","114.93","115.17","16,648,020"
10/02/2018,"115.30","115.84","114.44","115.15","20,787,240"
10/01/2018,"114.75","115.68","114.73","115.61","18,883,080"
09/28/2018,"114.19","114.57","113.68","114.37","21,647,811"
09/27/2018,"114.78","114.91","114.20","114.41","19,091,301"
09/26/2018,"114.47","115.06","113.74","113.98","19,352,029"
09/25/2018,"114.80","115.10","113.75","114.45","22,668,010"
09/24/2018,"113.03","114.90","112.22","114.67","27,334,461"
09/21/2018,"114.00","115.29","113.51","114.26","71,229,695"
09/20/2018,"112.28","113.80","111.93","113.57","23,714,510"
09/19/2018,"113.05","113.32","111.04","111.70","21,728,430"
09/18/2018,"112.19","113.70","111.72","113.21","22,170,930"
09/17/2018,"113.69","113.70","111.86","112.14","20,736,520"
09/14/2018,"113.36","113.73","112.44","113.37","19,122,350"
09/13/2018,"112.12","113.73","112.12","112.91","26,055,619"
09/12/2018,"111.43","111.85","110.51","111.71","18,891,061"
09/11/2018,"108.90","111.59","108.89","111.24","24,301,770"
09/10/2018,"108.84","109.64","108.36","109.38","20,727,910"
09/07/2018,"108.23","108.72","107.23","108.21","22,498,650"
09/06/2018,"108.25","108.99","107.51","108.74","23,477,619"
09/05/2018,"111.01","111.42","108.10","108.49","32,872,352"
09/04/2018,"110.85","111.96","110.22","111.71","22,634,641"
08/31/2018,"111.69","112.78","111.52","112.33","23,222,711"
08/30/2018,"111.67","112.61","111.44","111.95","22,798,699"
08/29/2018,"110.45","112.03","110.27","112.02","20,818,039"
08/28/2018,"109.94","110.50","109.79","110.26","19,151,529"
08/27/2018,"109.27","109.64","108.51","109.60","19,662,330"
08/24/2018,"107.67","108.56","107.56","108.40","17,234,020"
08/23/2018,"107.15","108.18","106.87","107.56","18,167,721"
08/22/2018,"105.85","107.34","105.78","107.06","18,000,641"
08/21/2018,"106.92","107.35","105.85","105.98","22,881,859"
08/20/2018,"107.51","107.90","106.48","106.87","17,914,199"
08/17/2018,"107.36","107.90","106.69","107.58","18,061,510"
08/16/2018,"108.30","108.86","107.30","107.64","21,384,289"
08/15/2018,"108.49","108.99","106.82","107.66","29,982,811"
08/14/2018,"108.56","109.75","108.04","109.56","16,788,311"
08/13/2018,"109.24","109.58","108.10","108.21","18,474,881"
08/10/2018,"109.42","109.69","108.38","109.00","18,183,721"
08/09/2018,"109.71","110.16","109.60","109.67","13,677,210"
08/08/2018,"109.33","109.75","108.76","109.49","15,487,500"
08/07/2018,"108.56","109.10","108.17","108.88","16,080,210"
08/06/2018,"108.12","108.42","107.56","108.13","20,265,949"
08/03/2018,"107.80","108.05","106.82","108.04","18,659,600"
08/02/2018,"105.40","108.09","104.84","107.57","26,104,260"
08/01/2018,"106.03","106.45","105.42","106.28","23,628,699"
07/31/2018,"106.49","106.72","105.38","106.08","27,655,150"
07/30/2018,"107.19","107.53","104.76","105.37","34,668,328"
07/27/2018,"110.18","110.18","106.14","107.68","37,005,289"
07/26/2018,"110.74","111.00","109.50","109.62","31,372,109"
07/25/2018,"107.96","111.15","107.60","110.83","30,798,061"
07/24/2018,"108.57","108.82","107.26","107.66","26,316,619"
07/23/2018,"106.30","108.14","106.13","107.97","29,706,961"
07/20/2018,"108.08","108.20","106.08","106.27","56,038,832"
07/19/2018,"104.93","105.31","103.89","104.40","40,171,648"
07/18/2018,"105.94","106.05","104.72","105.12","29,493,930"
07/17/2018,"104.61","106.50","104.32","105.95","25,901,730"
07/16/2018,"105.40","105.82","104.52","104.91","21,786,910"
07/13/2018,"104.37","105.60","104.09","105.43","24,653,500"
07/12/2018,"102.77","104.41","102.73","104.19","24,335,930"
07/11/2018,"101.15","102.34","101.10","101.98","19,644,650"
07/10/2018,"102.00","102.51","101.86","102.12","19,293,141"
07/09/2018,"101.65","102.25","101.25","101.85","18,211,980"
07/06/2018,"99.89","101.43","99.67","101.16","19,234,631"
07/05/2018,"99.50","99.92","99.03","99.76","18,977,400"
