Date,Open,High,Low,Close,Volume
10/27/2020,"115.49","117.28","114.54","116.60","92,276,766"
10/26/2020,"114.01","116.55","112.88","115.05","111,850,703"
10/23/2020,"116.39","116.55","114.28","115.04","82,572,648"
10/22/2020,"117.45","118.04","114.59","115.75","101,988,000"
10/21/2020,"116.67","118.71","116.45","116.87","89,945,984"
10/20/2020,"116.20","118.98","115.63","117.51","124,423,695"
10/19/2020,"119.96","120.42","115.66","115.98","120,639,297"
10/16/2020,"121.28","121.55","118.81","119.02","115,393,797"
10/15/2020,"118.72","121.20","118.15","120.71","112,559,203"
10/14/2020,"121.00","123.03","119.62","121.19","151,062,297"
10/13/2020,"125.27","125.39","119.65","121.10","262,330,500"
10/12/2020,"120.06","125.18","119.28","124.40","240,226,797"
10/09/2020,"115.28","117.00","114.92","116.97","100,506,898"
10/08/2020,"116.25","116.40","114.59","114.97","83,477,148"
10/07/2020,"114.62","115.55","114.13","115.08","96,848,992"
10/06/2020,"115.70","116.12","112.25","113.16","161,498,203"
10/05/2020,"113.91","116.65","113.55","116.50","106,243,797"
10/02/2020,"112.89","115.37","112.22","113.02","144,712,000"
10/01/2020,"117.64","117.72","115.83","116.79","116,120,398"
09/30/2020,"113.79","117.26","113.62","115.81","142,675,203"
09/29/2020,"114.55","115.31","113.57","114.09","100,060,492"
09/28/2020,"115.01","115.32","112.78","114.96","137,672,406"
09/25/2020,"108.43","112.44","107.67","112.28","149,981,406"
09/24/2020,"105.17","110.25","105.00","108.22","167,743,297"
09/23/2020,"111.62","112.11","106.77","107.12","150,718,703"
09/22/2020,"112.68","112.86","109.16","111.81","183,055,391"
09/21/2020,"104.54","110.19","103.10","110.08","195,713,797"
09/18/2020,"110.40","110.88","106.09","106.84","287,104,906"
09/17/2020,"109.72","112.20","108.71","110.34","178,011,016"
09/16/2020,"115.23","116.00","112.04","112.13","155,026,703"
09/15/2020,"118.33","118.83","113.61","115.54","184,642,000"
09/14/2020,"114.72","115.93","112.80","115.36","140,150,094"
09/11/2020,"114.57","115.23","110.00","112.00","180,860,297"
09/10/2020,"120.36","120.50","112.50","113.49","182,274,406"
09/09/2020,"117.26","119.14","115.26","117.32","176,940,500"
09/08/2020,"113.95","118.99","112.68","112.82","231,366,594"
09/04/2020,"120.07","123.70","110.89","120.96","332,607,188"
09/03/2020,"126.91","128.84","120.50","120.88","257,599,594"
09/02/2020,"137.59","137.98","127.00","131.40","200,119,016"
09/01/2020,"132.76","134.80","130.53","134.18","152,470,094"
08/31/2020,"127.58","131.00","126.00","129.04","225,702,703"
08/28/2020,"126.01","126.44","124.58","124.81","187,629,920"
08/27/2020,"127.14","127.49","123.83","125.01","155,552,408"
08/26/2020,"126.18","126.99","125.08","126.52","163,022,264"
08/25/2020,"124.70","125.18","123.05","124.83","211,495,812"
08/24/2020,"128.70","128.79","123.94","125.86","345,937,752"
08/21/2020,"119.26","124.87","119.25","124.37","338,054,656"
08/20/2020,"115.75","118.39","115.73","118.28","126,907,204"
08/19/2020,"115.98","117.16","115.61","115.71","145,538,000"
08/18/2020,"114.35","116.00","114.01","115.56","105,633,564"
08/17/2020,"116.06","116.09","113.96","114.61","119,561,436"
08/14/2020,"114.83","115.00","113.05","114.91","165,565,204"
08/13/2020,"114.43","116.04","113.93","115.01","210,082,080"
08/12/2020,"110.50","113.28","110.30","113.01","165,944,828"
08/11/2020,"111.97","112.48","109.11","109.38","187,902,376"
08/10/2020,"112.60","113.78","110.00","112.73","212,403,436"
08/07/2020,"113.21","113.68","110.29","111.11","198,045,592"
08/06/2020,"110.41","114.41","109.80","113.90","202,428,920"
08/05/2020,"109.38","110.39","108.90","110.06","121,991,960"
08/04/2020,"109.13","110.79","108.39","109.67","172,792,360"
08/03/2020,"108.20","111.64","107.89","108.94","308,151,408"
07/31/2020,"102.88","106.42","100.83","106.26","374,295,500"
07/30/2020,"94.19","96.30","93.77","96.19","158,130,048"
07/29/2020,"93.75","95.23","93.71","95.04","90,329,244"
07/28/2020,"94.37","94.55","93.25","93.25","103,625,524"
07/27/2020,"93.71","94.91","93.48","94.81","121,214,204"
07/24/2020,"90.99","92.97","89.15","92.62","185,438,876"
07/23/2020,"97.00","97.08","92.01","92.85","197,004,452"
07/22/2020,"96.69","97.98","96.60","97.27","89,001,640"
07/21/2020,"99.17","99.25","96.74","97.00","103,645,844"
07/20/2020,"96.42","98.50","96.06","98.36","90,317,920"
07/17/2020,"96.99","97.15","95.84","96.33","92,186,920"
07/16/2020,"96.56","97.41","95.91","96.52","110,577,680"
07/15/2020,"98.99","99.25","96.49","97.73","153,197,920"
07/14/2020,"94.84","97.26","93.88","97.06","170,989,360"
07/13/2020,"97.27","99.96","95.26","95.48","191,649,156"
07/10/2020,"95.34","95.98","94.71","95.92","90,257,320"
07/09/2020,"96.26","96.32","94.67","95.68","125,642,600"
07/08/2020,"94.18","95.38","94.09","95.34","117,091,884"
07/07/2020,"93.85","94.66","93.06","93.17","112,424,436"
07/06/2020,"92.50","93.95","92.47","93.46","118,655,640"
07/02/2020,"91.96","92.62","90.91","91.03","114,041,476"
07/01/2020,"91.28","91.84","90.98","91.03","110,737,244"
06/30/2020,"90.02","91.50","90.00","91.20","140,223,280"
06/29/2020,"88.31","90.54","87.82","90.45","130,646,080"
06/26/2020,"91.10","91.33","88.26","88.41","205,256,828"
06/25/2020,"90.18","91.25","89.39","91.21","137,522,532"
06/24/2020,"91.25","92.20","89.63","90.02","192,623,392"
06/23/2020,"91.00","93.10","90.57","91.63","212,155,484"
06/22/2020,"87.84","89.87","87.79","89.72","135,445,280"
06/19/2020,"88.66","89.14","86.29","87.43","264,475,812"
06/18/2020,"87.85","88.36","87.31","87.93","96,820,400"
06/17/2020,"88.79","88.85","87.77","87.90","114,406,524"
06/16/2020,"87.87","88.30","86.18","88.02","165,428,720"
06/15/2020,"83.31","86.42","83.15","85.75","138,808,920"
06/12/2020,"86.18","86.95","83.56","84.70","200,146,048"
06/11/2020,"87.33","87.77","83.87","83.98","201,662,436"
06/10/2020,"86.98","88.69","86.52","88.21","166,651,764"
06/09/2020,"83.04","86.40","83.00","86.00","147,712,360"
06/08/2020,"82.56","83.40","81.83","83.37","95,654,524"
06/05/2020,"80.84","82.94","80.81","82.88","137,250,204"
06/04/2020,"81.10","81.41","80.20","80.58","87,560,360"
06/03/2020,"81.17","81.55","80.58","81.28","104,491,204"
06/02/2020,"80.19","80.86","79.73","80.84","87,642,796"
06/01/2020,"79.44","80.59","79.30","80.46","81,018,600"
05/29/2020,"79.81","80.29","79.12","79.49","153,598,108"
05/28/2020,"79.19","80.86","78.91","79.56","133,796,408"
05/27/2020,"79.04","79.68","78.27","79.53","112,945,080"
05/26/2020,"80.88","81.06","79.13","79.18","125,521,796"
05/22/2020,"78.94","79.81","78.84","79.72","81,803,000"
05/21/2020,"79.67","80.22","78.97","79.21","102,688,844"
05/20/2020,"79.17","79.88","79.05","79.81","111,504,884"
05/19/2020,"78.76","79.63","78.25","78.29","101,729,564"
05/18/2020,"78.29","79.13","77.58","78.74","135,372,516"
05/15/2020,"75.09","76.98","75.05","76.93","166,348,360"
05/14/2020,"76.13","77.45","75.38","77.39","158,929,092"
05/13/2020,"78.04","78.99","75.80","76.91","200,622,564"
05/12/2020,"79.46","79.92","77.73","77.85","162,301,048"
05/11/2020,"77.03","79.26","76.81","78.75","145,946,236"
05/08/2020,"76.41","77.59","76.07","77.53","134,047,952"
05/07/2020,"75.81","76.29","75.49","75.94","115,215,040"
05/06/2020,"75.12","75.81","74.72","75.16","142,333,764"
05/05/2020,"73.77","75.25","73.62","74.39","147,751,204"
05/04/2020,"72.29","73.42","71.58","73.29","133,567,952"
05/01/2020,"71.56","74.75","71.46","72.27","240,616,720"
04/30/2020,"72.49","73.63","72.09","73.45","183,063,876"
